knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
freq,1h,1h,Naive,False,False,30,43.80397646604938,60.10592744270569,54.883525422199554,76.9530024592089,73.47159087233034,26.404822987010178,18.100457340052966,25.30219876676198,0.7953703703703705,0.23482584096089254,0.9032421894605424,0.7014218009478673,0.6166666666666667,0.8131868131868132,0.4466192170818505
freq,1h,1h,SeasonalNaive,False,False,30,48.496380015432095,71.72981646931645,69.68774242951989,106.42216829969372,80.89379419725728,31.839622289936806,18.724747999268878,28.327694857654002,0.7611111111111111,0.2192040408446745,1.0,0.6319702602230484,0.6415094339622641,0.6227106227106227,0.5505882352941176
freq,1h,1h,ETS,False,False,30,49.83605471450222,97.30912727688766,62.62041724372416,114.56497286586882,76.23560984819493,31.004140354073666,21.014691630486844,43.85834827206965,0.8027777777777777,0.27151268073972007,1.0276242205839656,0.7347611202635915,0.6676646706586826,0.8168498168498168,0.5548854041013269
freq,1h,1h,Theta,False,False,30,42.45122782240465,61.52721633111759,53.536781636790465,78.21540917668811,73.58521085497021,29.386467478724832,16.941936168402986,25.555239999028093,0.7569444444444445,0.2660426243734998,0.8753483828874689,0.7015873015873016,0.6190476190476191,0.8095238095238095,0.4967602591792657
freq,1h,1h,RandomForest,False,False,30,41.22238875022568,54.66773428935049,54.77017930046543,78.29875279290991,72.37365000440113,25.89895928922207,19.63511574782143,27.24019972340769,0.10462962962962961,0.07697446711154045,0.8500096035437749,0.6712095400340714,0.6273885350318471,0.7216117216117216,0.6666666666666666
freq,1h,1h,LightGBM,False,False,30,57.133081390329046,88.1876804326952,72.57830973553054,111.04293538586792,76.18420655203354,29.544894348491322,26.739835334357952,43.22350870662205,0.18379629629629632,0.13938261011598072,1.1780896094130873,0.6879194630872483,0.6346749226006192,0.7509157509157509,0.6887417218543045
freq,1h,1h,XGBoost,False,False,30,42.256266705407036,55.194928029598834,56.06539033058023,79.13823559217597,73.88442452067441,25.867691848692154,21.009618762106665,27.590075787801123,0.011574074074074075,0.012465659275774314,0.8713282659852264,0.6787003610108303,0.6690391459074733,0.6886446886446886,0.6798561151079136
freq,1h,1h,TimesFM,False,False,30,31.469867292034042,49.73856537257491,44.23685763277031,75.20358206006253,64.0707360909896,29.462650978923694,11.635131683964419,19.22939708374153,0.7458333333333333,0.21972409513646673,0.6489116771606454,0.6603053435114504,0.6892430278884463,0.6336996336996337,0.6216216216216216
freq,1h,1h,Chronos2,False,False,30,34.13343840824233,52.203255335283345,46.685906758648194,76.30036631017163,67.10997409650389,30.448287486157824,12.93083882390079,20.38791888379734,0.6953703703703702,0.2557450317445145,0.7038347686441891,0.7607142857142857,0.7421602787456446,0.7802197802197802,0.6216216216216216
freq,1h,1h,Toto,False,False,30,58.71958991630707,77.71027493109966,136.29726543990944,243.90548879196515,75.77028052483196,26.928315031088086,16.489053140652242,22.607191114590517,0.7444444444444444,0.2092141872141735,1.2108035671450494,0.6111111111111112,0.5808580858085809,0.6446886446886447,0.6275579809004093
freq,15min,15min,Naive,False,False,30,8.819175925925926,5.137468810911973,11.959205347314976,6.965739801289696,46.44230547695489,33.892090399076025,3.014030982864599,1.5796735154518875,0.799537037037037,0.19555513906381014,0.6570886327449136,0.0,0.0,0.0,0.0
freq,15min,15min,SeasonalNaive,False,False,30,13.421592592592592,7.159574112932035,17.121520117618065,9.008655388988714,68.40837779535107,37.98356333885022,4.643205539312242,2.393467694463838,0.774537037037037,0.2090322638048621,1.0,0.0,0.0,0.0,0.0
