model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
ElecFM,2025-03-01 00:00:00+00:00,False,False,23.176443666352167,32.36377591530328,54.98922830370302,9.087807806686119,0.625
ElecFM,2025-03-02 00:00:00+00:00,False,False,13.918277129067315,15.642155289927834,94.94284914955898,4.604458823822163,0.5
ElecFM,2025-03-03 00:00:00+00:00,False,False,23.65087022675408,31.65323842884262,68.32985699741863,8.270756165892989,0.5416666666666666
ElecFM,2025-03-04 00:00:00+00:00,False,False,6.931673004362317,11.091339132311376,32.59597082060311,2.579200453934846,0.9166666666666666
ElecFM,2025-03-05 00:00:00+00:00,False,False,8.82376505533854,10.64083890537278,55.78643104410036,2.897093500296274,0.75
ElecFM,2025-03-06 00:00:00+00:00,False,False,11.368050355381436,19.771458991015255,42.534912210917504,4.247125306129456,0.9166666666666666
ElecFM,2025-03-07 00:00:00+00:00,False,False,6.421927695804172,8.265894357813139,18.300072570524936,2.709993067935661,1.0
ElecFM,2025-03-08 00:00:00+00:00,False,False,9.841341563330756,10.766025754465943,34.95458778959306,2.9787525839275784,0.8333333333333334
ElecFM,2025-03-09 00:00:00+00:00,False,False,6.675612223943074,10.966382832827772,35.35322818898976,2.5725281546733996,0.8333333333333334
ElecFM,2025-03-10 00:00:00+00:00,False,False,18.71928971502516,21.56084190067979,67.08748404845079,5.799003298194319,0.4166666666666667
