model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal,ablation_type,model_type
Toto2[baseline],False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.379120879120879,0.575,0.2827868852459016,0.4327731092436975,baseline,toto2
Toto2[skip_attention],False,False,30,337.80243694806984,1186.3990035674562,1463.4027616487126,6064.170248731161,91.27062825211976,25.366208196994737,16087.793806547688,48117.96654332944,0.6861111111111111,0.1915995588369192,22.572557153673987,0.2568681318681319,0.1542904290429043,0.7663934426229508,0.2059574468085106,skip_attention,toto2
Toto2[halve_heads],False,False,30,121.90354584228844,58.31200509264577,195.53303699546572,109.80838377311971,100.56728259210016,22.162351331447063,2174615.237942317,6744063.8101924965,1.0,0.0,8.145810849149044,0.2303552206673843,0.1325898389095415,0.8770491803278688,0.2029950083194675,halve_heads,toto2
Toto2[skip_variate],False,False,30,15.708727623751136,4.903684185363569,20.36687167696573,6.948352360812254,36.33903439503023,8.213069098933394,5.7371013175911365,1.7303127552096311,0.7930555555555556,0.1065830835719426,1.0496850031698564,0.398034398034398,0.4969325153374233,0.3319672131147541,0.2392457277548615,skip_variate,toto2
Toto2[skip_time],False,False,30,226.79474245366927,888.5213158323891,1103.5685879265552,5323.991355507704,79.94897992218579,26.11846698337646,23865.65037459255,81744.89459124944,0.5787037037037037,0.1825507051345743,15.154826390359093,0.2854656222802437,0.1812154696132596,0.6721311475409836,0.2183449651046859,skip_time,toto2
Toto2[remove_rope],False,False,30,16.73028435532252,4.91965855554332,22.54782047742197,6.916149651222973,39.0808703419837,8.870998323062283,5.660328480448742,1.789886936393309,0.6819444444444444,0.1819161697000954,1.1179472333581493,0.3409090909090909,0.5555555555555556,0.2459016393442623,0.2946655376799322,remove_rope,toto2
Toto2[disable_xpos],False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.379120879120879,0.575,0.2827868852459016,0.4327731092436975,disable_xpos,toto2
Toto2[simplify_patch_emb],False,False,30,26.590319033340172,8.07790730277495,34.0270088221129,11.165875694700668,55.89532953768303,13.240028272018543,11.46438652975667,5.073246817459453,0.3185185185185185,0.1739878628124262,1.776812214669625,0.1299303944315545,0.1497326203208556,0.1147540983606557,0.1621621621621621,simplify_patch_emb,toto2
Toto2[simplify_output_head],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,simplify_output_head,toto2
Toto2[skip_ffn],False,False,30,391.96355817865447,105.96230708333846,548.0884654044171,152.98244126422702,155.37093623637872,13.97039337392478,5596.489957580329,3790.482229341362,1.0,0.0,26.191699204660377,0.2029950083194675,0.1129629629629629,1.0,0.2029950083194675,skip_ffn,toto2
Toto2[skip_layernorm],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,skip_layernorm,toto2
Toto2[truncate_front_half],False,False,30,279.3939097530812,169.5194380058401,386.93258258917535,249.83924649533543,132.75555375756454,19.462013812753987,291.63639188238216,186.27010255660937,1.0,0.0,18.6695959131265,0.2053768179814896,0.1150617283950617,0.9549180327868853,0.2029950083194675,truncate_front_half,toto2
Toto2[truncate_back_half],False,False,30,135.43965732999496,239.9796449384703,283.09770753920844,558.5069582999884,77.2364085587938,30.300843874724062,8037.901598315098,39450.31560238755,0.8532407407407407,0.1340203813605506,9.050317793963446,0.2797074954296161,0.18,0.6270491803278688,0.2375073486184597,truncate_back_half,toto2
