model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
Toto2,False,False,30,30.603467089058434,46.966526382473305,43.58277127243026,72.78104842038823,62.73133972503261,29.698284570955256,11.472514894157769,18.054345497570388,0.7148148148148149,0.22691042327765354,0.6310464220075821,0.7732342007434945,0.7849056603773585,0.7619047619047619,0.6445086705202312
TimesFM,False,False,30,30.84925427614612,49.53419266346594,44.08517800337898,76.47387049206975,64.70986183746587,28.43028357465616,11.552081871879444,20.225503392777764,0.736574074074074,0.2039818177230294,0.6361145773422581,0.6851063829787234,0.817258883248731,0.5897435897435898,0.6415620641562065
Chronos2,False,False,30,30.9196339695071,49.154620017948645,44.05277605792405,74.96640079796823,62.797943079227,27.768368081338647,12.006570076929687,20.885106476126623,0.7087962962962961,0.2392622871325436,0.6375658133590203,0.7726432532347505,0.7798507462686567,0.7655677655677655,0.6258503401360545
Theta,False,False,30,40.13026203325247,59.62044270078991,51.123757638859146,77.79974980225572,77.51662701126392,32.817472732600734,16.961353952531933,26.15345937659406,0.8407407407407407,0.2969047571903314,0.8274898460561916,0.7615780445969126,0.7161290322580646,0.8131868131868132,0.335988414192614
RandomForest,False,False,30,41.22238875022568,54.66773428935049,54.77017930046543,78.29875279290991,72.37365000440113,25.89895928922207,19.63511574782143,27.24019972340769,0.1046296296296296,0.0769744671115404,0.8500096035437749,0.6712095400340714,0.6273885350318471,0.7216117216117216,0.6666666666666666
XGBoost,False,False,30,42.25626670540704,55.194928029598834,56.06539033058023,79.13823559217597,73.88442452067441,25.867691848692154,21.009618762106665,27.590075787801123,0.011574074074074,0.0124656592757743,0.8713282659852264,0.6787003610108303,0.6690391459074733,0.6886446886446886,0.6798561151079136
ETS,False,False,30,43.42718133170363,78.18437886868263,56.05499578652401,99.21427349589898,78.96076174581795,34.091544694309775,19.156205381018697,35.520395128407934,0.8421296296296297,0.2945074035880517,0.8954726377078992,0.752542372881356,0.7003154574132492,0.8131868131868132,0.3942225998300764
Naive,False,False,30,43.80397646604938,60.10592744270569,54.883525422199554,76.9530024592089,73.47159087233034,26.404822987010174,18.00145109205713,25.874265343707226,0.8675925925925925,0.2507379369611828,0.9032421894605424,0.7014218009478673,0.6166666666666667,0.8131868131868132,0.2938568714376187
SeasonalNaive,False,False,30,48.496380015432095,71.72981646931645,69.68774242951989,106.42216829969372,80.89379419725728,31.83962228993681,20.32716649995045,30.36685769682109,0.800925925925926,0.2681990436659303,1.0,0.6319702602230484,0.6415094339622641,0.6227106227106227,0.3314097279472383
Toto,False,False,30,52.53373823703172,78.5214243214322,107.56191341695556,198.7967864066654,71.86508671361806,28.925215884755744,14.961994579293378,23.110769576144932,0.7476851851851852,0.2052889704427871,1.083250713152505,0.6124031007751939,0.6502057613168725,0.5787545787545788,0.652482269503546
LightGBM,False,False,30,57.133081390329046,88.1876804326952,72.57830973553054,111.04293538586792,76.18420655203354,29.54489434849132,26.739835334357952,43.22350870662205,0.1837962962962963,0.1393826101159807,1.1780896094130873,0.6879194630872483,0.6346749226006192,0.7509157509157509,0.6887417218543045
