model,covariates_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,8,10.492699440563168,4.87706832431644,14.749050307825412,5.996462783212692,26.83650007601245,7.225555592116055,3.344258262678797,1.2226215099822957,0.7777777777777778,0.10276839296492181,0.7085517040400053,0.4810126582278481,1.0,0.31666666666666665,0.49450549450549447
Chronos2,False,8,12.701972496377097,5.54513780008541,17.051012403647274,7.1904809142621975,31.872628532678583,6.170164479596976,3.972887364235925,1.7664372651930063,0.6892361111111112,0.1380071839861611,0.8577396415439706,0.46464646464646464,0.5897435897435898,0.38333333333333336,0.4672897196261683
SeasonalNaive,False,8,14.80865740740741,7.091712212016373,23.215718302325072,12.849028197557718,32.70179205909268,10.31548502565827,6.006540470719134,2.274405685956602,0.90625,0.06970437465237755,1.0,0.47619047619047616,0.45454545454545453,0.5,0.34890965732087226
Toto,False,8,23.13206750848779,8.99560171014914,56.62043733741871,35.8369610667619,42.89815728642522,7.572322919565237,5.777734697844005,1.9840616442095105,0.8506944444444444,0.1304280553541177,1.562063789585472,0.42592592592592593,0.4791666666666667,0.38333333333333336,0.43243243243243246
