knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
freq,1h,1h,TimesFM,False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3286384976525822,0.6481481481481481,0.220125786163522,0.3411371237458194
freq,1h,1h,Toto2,False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.3333333333333333,0.5873015873015873,0.2327044025157232,0.336231884057971
freq,1h,1h,Chronos2,False,False,30,13.205590440273284,5.186076192365319,18.64520347524076,7.257756165569075,30.344874775780976,7.644193782261774,4.34666935483909,1.8974109040129483,0.7185185185185187,0.1469395142583509,0.8824209430049311,0.3170731707317073,0.4482758620689655,0.2452830188679245,0.325
freq,1h,1h,SeasonalNaive,False,False,30,14.9651824845679,6.306300547703117,22.552636104834207,9.982589345145929,32.45960674050627,10.106983068995511,5.676103380285418,2.1747684455403267,0.8550925925925926,0.0947899001553845,1.0,0.3221884498480243,0.3117647058823529,0.3333333333333333,0.2882205513784461
freq,1h,1h,Theta,False,False,30,17.47603913508074,10.461927821552292,24.106348892690644,14.521522524188,37.75369134522823,10.812172662646976,6.458391911337347,4.274418416600633,0.8254629629629627,0.1574080882338217,1.1677798886249489,0.3571428571428572,0.3004291845493562,0.440251572327044,0.2860635696821516
freq,1h,1h,Toto,False,False,30,21.034855499313757,9.389632308570524,42.87843269907728,29.594382729256832,42.88692226842485,9.767387597537398,5.7046126650357625,2.3517142582566826,0.8388888888888889,0.1080956557031456,1.4055863014704233,0.3287671232876712,0.3609022556390977,0.3018867924528302,0.319693094629156
freq,1h,1h,ETS,False,False,30,25.52155688708636,12.58276832714454,30.34605530236824,14.651351970911495,73.65976649439345,38.59295439124998,8.31353727146916,5.036385215184781,0.7092592592592593,0.2286099672953399,1.705395635061864,0.328159645232816,0.2534246575342466,0.4654088050314465,0.2658092175777063
freq,1h,1h,LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.91890869117852,52.99742781736895,13.504705876191704,11.422255985124757,7.497855869055351,0.212962962962963,0.1306999464212324,1.799693134891032,0.2702702702702703,0.2369668246445497,0.3144654088050314,0.2395209580838323
freq,1h,1h,XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.26156067003912,11.024824476483454,14.760133865246797,4.788345485387886,0.0037037037037037,0.0079651159880024,1.9860202324875451,0.189406099518459,0.1271551724137931,0.3710691823899371,0.1858267716535433
freq,1h,1h,Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743298,59.19890227477421,14.681635918527425,11.20043244529072,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2137834036568213,0.1376811594202898,0.4779874213836478,0.1326923076923077
freq,1h,1h,RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.0851851851851851,0.0787908014796474,2.3978478320617413,0.2237521514629948,0.1540284360189573,0.4088050314465409,0.2324159021406727
freq,15min,15min,TimesFM,False,False,30,12.143723308704518,10.100351488730478,16.752153170622766,15.155957171476365,27.477887966969785,10.682952685301684,4.1078658114576045,3.718823768733792,0.7708333333333335,0.22591691314749,0.5450376199857697,0.481132075471698,0.75,0.3541666666666667,0.3791304347826087
freq,15min,15min,Toto2,False,False,30,12.48173433823056,10.238041985823005,17.187057868680725,15.29398564508497,27.88793648588101,10.484586453260968,4.4093992826026165,3.637855133520056,0.776388888888889,0.2114382820572981,0.5602083153630071,0.502127659574468,0.6483516483516484,0.4097222222222222,0.3132220795892169
freq,15min,15min,Chronos2,False,False,30,12.835578340442092,9.366460815477351,17.852068686169567,13.557240356087936,29.06321649842799,10.585132148892807,4.2592667839792036,3.0196629596116034,0.6944444444444444,0.2110928354662592,0.5760896301714048,0.4794007490636704,0.5203252032520326,0.4444444444444444,0.3382352941176471
freq,15min,15min,RandomForest,False,False,30,15.231136187505037,15.762565528829924,20.082383955413093,20.721104830883625,31.590804143400245,14.514738202359135,7.164753728819377,7.863529175353908,0.1875,0.1548989947019372,0.6836076552704722,0.4042553191489362,0.4130434782608695,0.3958333333333333,0.4084507042253522
freq,15min,15min,XGBoost,False,False,30,16.483173659872122,21.258056479832856,20.73208516284351,22.78896284728133,32.39544496195047,16.523208828689803,8.168954136816554,10.62963920143924,0.0287037037037037,0.0332431908722523,0.73980191354897,0.4244372990353697,0.3952095808383233,0.4583333333333333,0.4244372990353697
freq,15min,15min,Naive,False,False,30,16.661625,19.1846894777503,20.69241609692171,21.195404931074695,32.89882535161449,15.864156853423696,6.498307876385365,5.402899804730301,0.8546296296296296,0.206869341745421,0.747811211128803,0.4107142857142857,0.359375,0.4791666666666667,0.25
freq,15min,15min,Theta,False,False,30,16.716018240889646,19.206011678051276,20.857293189968527,21.318017200126988,33.33832203487156,16.475964067946055,6.771024849602148,5.608355110585024,0.888425925925926,0.1886873698088381,0.7502525021401484,0.4107142857142857,0.359375,0.4791666666666667,0.2423625254582484
