model,origin,naive7_mae,covariates_used,multivariate_used,mae,rmse,smape,rmae,pinball,coverage
Chronos2,2025-07-01 00:00:00+00:00,25.592407407407407,True,False,19.735789330093947,27.32665047844079,44.02250052525846,0.7711579850976297,6.856131507379037,0.4027777777777778
Chronos2,2025-07-02 00:00:00+00:00,38.74896990740741,True,False,21.63377094939903,37.401853028297005,31.633768108738604,0.5583057046701887,7.429397920855769,0.8472222222222222
Chronos2,2025-07-03 00:00:00+00:00,9.429803240740743,True,False,7.832739645286842,9.608319893823678,21.40999741711698,0.8306365939265933,2.6825632799996266,0.9861111111111112
Chronos2,2025-07-04 00:00:00+00:00,8.454027777777778,True,False,10.057140739228991,14.8812224354891,27.711821015084553,1.1896271225492243,3.2757276208312422,0.6805555555555556
Chronos2,2025-07-05 00:00:00+00:00,18.460520833333334,True,False,8.782640149858263,13.480016259568025,27.46081962890331,0.4757525656589192,3.1415653492491926,0.8194444444444444
Chronos2,2025-07-06 00:00:00+00:00,14.629305555555554,True,False,10.343983473601165,16.128892453160955,27.375222235807716,0.7070727611997265,2.9412022139113625,0.7916666666666666
Chronos2,2025-07-07 00:00:00+00:00,13.49300925925926,True,False,9.016556752876,14.686269355831575,21.445006379114933,0.6682391288428561,3.1345534333476315,0.7916666666666666
Chronos2,2025-07-08 00:00:00+00:00,12.906782407407407,True,False,17.78746839841207,28.719684451811368,34.0369562583587,1.3781489326265823,5.518431158713352,0.6944444444444444
Chronos2,2025-07-09 00:00:00+00:00,33.95109953703704,True,False,37.09625369707744,46.14313059061874,57.72463472237599,1.0926377702910437,10.90839870688356,0.5694444444444444
Chronos2,2025-07-10 00:00:00+00:00,17.20474537037037,True,False,18.35808292106346,25.986354379975424,60.49008805560692,1.067036013952252,6.7159602662663405,0.4444444444444444
Chronos2,2025-07-11 00:00:00+00:00,11.368680555555557,True,False,9.005317114370841,15.328658444042544,34.99308039866199,0.7921162944428229,3.6285668527344126,0.9166666666666666
Chronos2,2025-07-12 00:00:00+00:00,52.02465277777779,True,False,49.171977444401506,97.66952871177517,62.83644537634451,0.945166854922388,20.11859121287311,0.375
Chronos2,2025-07-13 00:00:00+00:00,28.16582175925926,True,False,13.467306493476585,18.657755380267904,26.21875857960527,0.47814356735568453,5.589984038258776,0.9166666666666666
