knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,rmae_mean,rmae_std,inference_time_s,inference_time_per_day_s,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
covariates,[],无协变量,Chronos2,False,False,60,12.97563330895518,7.2088068045633475,18.889786150450792,13.421133170839251,36.75302904790196,12.582837800892852,4.430425666680551,2.8785117340471507,0.73125,0.16829499700977008,0.7416561406960139,0.29555088481361086,12.55,0.209,0.3594202898550725,0.5849056603773585,0.2594142259414226,0.31865828092243187
covariates,['load'],+负荷,Chronos2,True,False,60,12.78871169937687,7.111664401472948,18.634090057394438,13.297301212775373,35.60069024326518,11.913550966988234,4.370127066564168,2.7592961878468265,0.7270833333333332,0.17804206700512326,0.7324984766156187,0.28917512588409017,8.94,0.149,0.36627906976744184,0.6057692307692307,0.2625,0.3351120597652081
covariates,"['load', 'temperature']",+负荷+温度,Chronos2,True,False,60,13.139366262268137,7.135544598433703,19.008043647839592,13.245621855636484,36.48455827378907,12.137947371834121,4.469318327754613,2.7602372628923475,0.7168981481481482,0.17819128101653992,0.7540707860322555,0.2961388319354358,10.08,0.168,0.3646408839779006,0.5409836065573771,0.275,0.3306772908366534
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Chronos2,True,False,60,13.336684506778365,7.678322868117397,19.182481386165538,13.513660222960914,36.49726094494618,12.355817100023378,4.522484280679452,2.892060290113411,0.7155092592592592,0.17318450672925753,0.7648934632541131,0.3159745809175412,10.96,0.183,0.3651226158038147,0.5275590551181102,0.2791666666666667,0.3347022587268994
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),Chronos2,True,False,60,13.537908110032847,7.325106963399868,19.46934281460703,13.298058651450962,37.3728121033315,13.128376075561654,4.653805427720027,2.7605627082499593,0.7342592592592593,0.18511804338389753,0.79053167833254,0.3668103706871593,15.96,0.266,0.3563218390804598,0.5585585585585585,0.2616033755274262,0.295668549905838
