covariates,n_origins,rmae_mean,mae_mean,rmse_mean,smape_mean,spike_f1_mean,spike_recall,spike_f1_q90,coverage_mean,Δmae_vs_base,Δspike_f1_vs_base
[],336,0.7702356145528201,16.867070959745043,23.43018859051203,68.9008910951191,0.48979591836734704,0.415748031496063,0.34641699675909254,0.7310267857142857,0.0,0.0
load,336,0.7831730164842667,17.283428738083185,23.835957277450206,67.91188669750514,0.509009009009009,0.4448818897637795,0.3441977077363897,0.7139550264550264,0.4164,0.0192
temperature,336,0.7763393446793927,17.12331597838377,23.755617104168767,67.23611496355223,0.5081374321880651,0.44251968503937006,0.3460389952573336,0.7261904761904762,0.2562,0.0183
wind,336,0.7383538235184552,16.26309488861659,22.818190141135318,64.23025972245262,0.49034575662326,0.42992125984251967,0.3727324804277258,0.7144510582010581,-0.604,0.0005
solar,336,0.7656472580167708,16.713089135870323,23.309794922975943,67.38492942670635,0.4965769055225924,0.4283464566929134,0.3427369896618188,0.7237929894179894,-0.154,0.0068
henry_hub_usd_per_mmbtu,336,0.8010226494713012,17.443029503777847,24.04769570989017,68.7367257850766,0.4865591397849462,0.4275590551181102,0.3364937079813825,0.7161871693121694,0.576,-0.0032
wti_usd_per_barrel,336,0.7963584852571124,17.39052897895264,24.020946208135722,68.93474286056761,0.49118046132971505,0.4275590551181102,0.3391197615290198,0.7184193121693122,0.5235,0.0014
storm_event_count,336,0.7824151614696058,17.16076840893094,23.76247942945875,68.54006798909798,0.49257091400270153,0.43070866141732284,0.32640750670241286,0.720816798941799,0.2937,0.0028
gas_share,335,0.7751810605210834,16.897796024704125,23.477872427205636,67.74991439546726,0.47966728280961185,0.4115781126090404,0.34345281638624725,0.7178689883913764,0.0307,-0.0101
renewable_shock,335,0.772302417621317,16.797029821352975,23.411930254727302,67.76350891099455,0.5018181818181818,0.43774781919111816,0.3406770553465879,0.7084162520729685,-0.07,0.012
