model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Theta,2025-08-15 00:00:00+00:00,False,False,8.742203254466611,12.096892008598436,21.909166731653425,3.22654589737811,0.9444444444444444
Theta,2025-08-16 00:00:00+00:00,False,False,10.023500690160157,13.017903917925064,28.188129355988423,3.4247984822129047,0.9444444444444444
Theta,2025-08-17 00:00:00+00:00,False,False,15.72560111291948,20.996010601041103,37.226948445223535,5.104939121347549,0.7222222222222222
Theta,2025-08-18 00:00:00+00:00,False,False,16.247386596523345,26.375986880708577,31.463182449884524,5.575779459016306,0.8333333333333334
Theta,2025-08-19 00:00:00+00:00,False,False,43.230090102933815,61.32618006334748,44.22699040679246,17.072318486888527,0.4166666666666667
Theta,2025-08-20 00:00:00+00:00,False,False,25.13280748701965,32.411121584871736,46.8116083253718,8.267516902481532,0.6666666666666666
Theta,2025-08-21 00:00:00+00:00,False,False,24.320378611802525,37.225246301240794,38.862856716925414,9.13001429235083,0.7361111111111112
Theta,2025-08-22 00:00:00+00:00,False,False,12.432597760345192,18.705468575561916,28.64202818412016,5.045075965445995,0.9027777777777778
Theta,2025-08-23 00:00:00+00:00,False,False,11.830579160068176,17.075997292843578,33.75070036469382,4.991534664396645,0.9444444444444444
Theta,2025-08-24 00:00:00+00:00,False,False,23.52435126870052,30.17126542239749,54.51661046940802,7.776538034513364,0.7916666666666666
Theta,2025-08-25 00:00:00+00:00,False,False,22.317939829907623,26.1649820302048,47.63559440622406,6.926658650334275,0.8472222222222222
Theta,2025-08-26 00:00:00+00:00,False,False,14.043354951307384,19.195851035462024,31.183563935117053,4.993869511250234,0.875
Theta,2025-08-27 00:00:00+00:00,False,False,10.32856367914796,14.44002758127763,25.297887073757455,3.9562215814317976,0.9722222222222222
Theta,2025-08-28 00:00:00+00:00,False,False,14.388039664677576,20.93773489901614,39.14894330388936,5.158526471851143,0.8333333333333334
Theta,2025-08-29 00:00:00+00:00,False,False,13.515621355987784,18.005529692576747,28.728427590587756,4.473994726628302,0.8472222222222222
Theta,2025-08-30 00:00:00+00:00,False,False,7.842761000671724,9.249956175271292,27.044919193128468,3.1264352533471236,1.0
RandomForest,2025-08-01 00:00:00+00:00,False,False,20.595851701133043,25.058454718048033,34.76103211378616,9.382415296022856,0.0833333333333333
RandomForest,2025-08-02 00:00:00+00:00,False,False,37.344232732806034,40.86605909325253,61.70561840504024,17.547712762567862,0.0833333333333333
RandomForest,2025-08-03 00:00:00+00:00,False,False,17.61486745442878,20.40634643837905,52.237180453758725,7.699502304443695,0.125
RandomForest,2025-08-04 00:00:00+00:00,False,False,67.00818939910765,92.92685762005163,88.69711106175606,32.31217248949613,0.0277777777777777
RandomForest,2025-08-05 00:00:00+00:00,False,False,11.331546175342506,12.79362199532277,41.547930720428006,4.70496365002928,0.1805555555555555
RandomForest,2025-08-06 00:00:00+00:00,False,False,8.220041710354945,10.583065741486854,29.92215147437355,3.1271389041492745,0.3888888888888889
RandomForest,2025-08-07 00:00:00+00:00,False,False,17.39365983244843,21.984403675465423,46.78156486257045,7.525185239362226,0.0972222222222222
RandomForest,2025-08-08 00:00:00+00:00,False,False,19.97658027710637,25.51729184254365,55.88291513663538,8.921461654217937,0.0833333333333333
RandomForest,2025-08-09 00:00:00+00:00,False,False,28.08114046277972,37.211385504683115,72.60686942910897,13.094253699793654,0.0972222222222222
RandomForest,2025-08-10 00:00:00+00:00,False,False,19.61652389782631,25.016251629894565,48.673281909818186,8.926639710161387,0.2222222222222222
RandomForest,2025-08-11 00:00:00+00:00,False,False,43.1096326616664,70.93445085124527,56.11028789524612,20.582150857878304,0.1388888888888889
RandomForest,2025-08-12 00:00:00+00:00,False,False,47.49373890444554,75.41201840609291,61.12769100549515,22.873161179187186,0.0138888888888888
RandomForest,2025-08-13 00:00:00+00:00,False,False,71.40621649547484,85.50113523928594,83.565250753434,34.735039196959626,0.0138888888888888
RandomForest,2025-08-14 00:00:00+00:00,False,False,21.059803444161066,24.269358634966693,48.612927398816886,9.55929751558093,0.0416666666666666
RandomForest,2025-08-15 00:00:00+00:00,False,False,16.080337087139313,19.089461584393295,42.512479711984206,7.101685048278107,0.1111111111111111
RandomForest,2025-08-16 00:00:00+00:00,False,False,19.197747977785852,23.44537522572034,44.959061548401536,8.698523178325912,0.1527777777777778
RandomForest,2025-08-17 00:00:00+00:00,False,False,52.21554853355219,68.00791045584056,77.4004542091592,24.946856052120907,0.0138888888888888
RandomForest,2025-08-18 00:00:00+00:00,False,False,64.0217593221891,79.79037854340297,86.37421471213752,30.9151814162729,0.0694444444444444
RandomForest,2025-08-19 00:00:00+00:00,False,False,70.59380780237231,91.8014949611196,64.54478494289232,34.14178734533661,0.0277777777777777
RandomForest,2025-08-20 00:00:00+00:00,False,False,27.226200501686005,32.65080659143514,55.44643832781424,12.531471631357077,0.0972222222222222
RandomForest,2025-08-21 00:00:00+00:00,False,False,57.991747849769155,69.56566091391535,74.17802859623922,27.887429782578337,0.0
RandomForest,2025-08-22 00:00:00+00:00,False,False,32.696607842721285,39.82252465167243,61.38945405354549,15.248763751782636,0.0277777777777777
RandomForest,2025-08-23 00:00:00+00:00,False,False,31.838861836541568,39.58204439499587,66.0894363583019,14.64855118495165,0.0138888888888888
RandomForest,2025-08-24 00:00:00+00:00,False,False,29.780936170021196,35.0577909803632,56.731763694315575,13.905266974313491,0.0555555555555555
