knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
horizon,24,24h（日前）,Chronos2,False,False,29,14.936099523675852,5.288928337081194,21.43305373045501,8.019626029624552,75.06234667552297,22.372380892141713,4.850629251641687,1.69792118822159,0.7725095785440613,0.1524689404188851,0.7329805292768289,0.0,0.0,0.0,0.2020905923344947
horizon,24,24h（日前）,TimesFM,False,False,29,15.017629455486324,4.695927009114283,21.43463069339116,7.807643658869529,75.71294749414434,19.65839173435095,4.929358097806212,1.6107474875314824,0.7739463601532568,0.1181271786185814,0.7369815639830866,0.0,0.0,0.0,0.1666666666666666
horizon,24,24h（日前）,Toto2,False,False,29,15.117822404516764,4.40600125779813,21.721415701625514,7.669343274480815,73.86346949550101,21.68903834553337,4.986100900149843,1.5420903726627615,0.7825670498084292,0.1267846138526766,0.7418984755699253,0.0,0.0,0.0,0.1885521885521885
horizon,24,24h（日前）,ETS,False,False,29,19.06752130286783,7.377605388959663,25.50008039557826,9.20703007803462,81.4853470514871,20.625744004578905,6.497251726654495,2.248083754433505,0.8424329501915709,0.1596660263489177,0.9357276867644811,0.225563909774436,0.238095238095238,0.2142857142857142,0.1204301075268817
horizon,24,24h（日前）,SeasonalNaive,False,False,29,20.377211845466157,7.241201672930021,28.541055815331887,9.47626411657616,88.40509505404253,26.52091889524784,7.092203829848,2.374246770039379,0.8280651340996169,0.1365421371945849,1.0,0.0869565217391304,0.088235294117647,0.0857142857142857,0.1197916666666666
horizon,24,24h（日前）,Theta,False,False,29,20.56300603924367,8.066551370463833,27.554965023031887,10.14977161389088,81.29979606917546,19.51272045801603,6.893528942460449,2.4632841857215304,0.8271072796934867,0.1640351888931054,1.009117743643562,0.2127659574468085,0.2112676056338028,0.2142857142857142,0.1026694045174538
horizon,24,24h（日前）,Toto,False,False,29,21.83249662839233,5.452274186794208,36.51952601930832,9.34537229974553,85.98492265810768,23.163156938965155,6.197275164587548,1.6742860500328898,0.7734674329501917,0.1217436341488836,1.0714172671885909,0.0652173913043478,0.1363636363636363,0.0428571428571428,0.1626016260162601
horizon,24,24h（日前）,Naive,False,False,29,22.258832614942524,8.790700464012083,29.78492148481186,10.555273173340582,76.74108270677587,25.07811460329354,8.463717228101538,1.831455427714902,0.94683908045977,0.0680481235207332,1.0923394615389943,0.1126760563380281,0.1111111111111111,0.1142857142857142,0.0836054866100587
horizon,24,24h（日前）,XGBoost,False,False,29,24.071575620120733,10.217260896154508,33.166676512283985,14.136869991730672,78.50975117029756,24.594733424768418,11.868881361099538,5.105000098965121,0.028735632183908,0.0218634333534738,1.181298786245703,0.1034482758620689,0.0865384615384615,0.1285714285714285,0.1129943502824858
horizon,24,24h（日前）,RandomForest,False,False,29,25.978428930901213,16.38532193389453,36.37453935451784,23.44780279701032,78.10297304126733,26.101150019264495,11.074358868507412,7.922280785284826,0.3941570881226054,0.1731426166551908,1.2748765202969268,0.0903954802259886,0.0747663551401869,0.1142857142857142,0.0990990990990991
horizon,24,24h（日前）,LightGBM,False,False,29,33.72779336054938,43.31466225268047,53.88170992156027,87.97569695705518,82.28250968811918,26.00221252693811,14.524015821888176,20.87557139403102,0.6015325670498084,0.1792838893114295,1.6551721411314506,0.1019108280254777,0.0919540229885057,0.1142857142857142,0.0910683012259194
horizon,48,48h（两日前）,TimesFM,False,False,28,15.424265830845982,3.773096989603725,22.025642232584783,6.281120790419841,78.71749870189369,15.911895867720354,5.0934057063072915,1.3097346186998464,0.7857142857142857,0.0957893684686093,0.768478881232436,0.0,0.0,0.0,0.1330472103004291
horizon,48,48h（两日前）,Chronos2,False,False,28,15.426698107290518,4.066607146980476,22.332553430962115,6.509806542865304,78.88216151856889,17.665794364541714,5.073036797423526,1.3559031122123075,0.790922619047619,0.0923588600266142,0.7686000638612523,0.0,0.0,0.0,0.1505376344086021
horizon,48,48h（两日前）,Toto2,False,False,28,15.517941320396607,3.8340101893773615,22.48141531116114,6.578852781524953,76.91964976771112,18.89928834696131,5.156298428890566,1.3697151112983668,0.8005952380952382,0.1012974069314985,0.7731460489406585,0.0,0.0,0.0,0.1099656357388316
horizon,48,48h（两日前）,SeasonalNaive,False,False,28,20.071164227843916,5.703572921225938,28.64530723138594,6.9049392231195235,88.72129153454625,23.53824928938584,6.971868177256775,1.7628324593369042,0.8293650793650794,0.1127487905789765,1.0,0.0421940928270042,0.043103448275862,0.0413223140495867,0.0755244755244755
horizon,48,48h（两日前）,ETS,False,False,28,20.53501360250605,7.098441727390061,27.4516066758068,7.947984154207604,87.31285156722124,20.637196786163862,6.890564372488378,2.216423876334785,0.824156746031746,0.1410063486362427,1.023110237622323,0.1208791208791208,0.180327868852459,0.0909090909090909,0.094059405940594
horizon,48,48h（两日前）,Theta,False,False,28,21.495535965528926,7.914339097614227,28.856847130852717,8.971940787202017,85.55268467296098,18.54036817077245,7.130843245910951,2.4116045406482596,0.8112599206349207,0.1559692536386365,1.0709660745891878,0.0816326530612244,0.1066666666666666,0.0661157024793388,0.0881272949816401
horizon,48,48h（两日前）,Naive,False,False,28,22.62013289517196,8.470847720701768,30.38078558898369,9.66812848580965,79.02902588286199,23.29812871989183,10.132289333001278,1.632797844035114,0.9749503968253967,0.0267247892510441,1.1269965527855113,0.0236686390532544,0.0416666666666666,0.0165289256198347,0.0652297220646625
horizon,48,48h（两日前）,XGBoost,False,False,28,24.90266758622533,10.743432819228005,34.28961361770111,14.408345688859372,79.83805329887856,23.21844070405471,12.28409770853555,5.367953207438699,0.0297619047619047,0.0233925121479198,1.240718640111512,0.025531914893617,0.0263157894736842,0.024793388429752,0.0337552742616033
horizon,48,48h（两日前）,Toto,False,False,28,26.041396336620863,5.841993633627229,51.631865379263104,24.06102488970672,89.64122450564876,18.595192527645388,6.992529697709913,1.3623383162549385,0.7956349206349206,0.0912159088410523,1.2974532040595177,0.0402010050251256,0.0512820512820512,0.0330578512396694,0.0859374999999999
horizon,48,48h（两日前）,RandomForest,False,False,28,27.19874136455387,19.602670102865208,38.150484896044766,27.459623197917303,80.5988311380555,25.285646199246937,11.656435212683968,9.420206156560296,0.3923611111111111,0.1770152374518178,1.3551152815949836,0.0415224913494809,0.0357142857142857,0.0495867768595041,0.0490797546012269
horizon,48,48h（两日前）,LightGBM,False,False,28,37.098776951249775,51.28341119620226,58.06598435306609,94.40386290822065,84.76601602635131,24.2218548574732,15.9502708665759,24.6962898978772,0.5902777777777777,0.1778839278825993,1.848361984890948,0.0531561461794019,0.0444444444444444,0.0661157024793388,0.059443911792905
horizon,168,168h（周前）,Chronos2,False,False,23,16.032702879610078,1.9316463305504523,23.165870056512745,3.2654745465508,87.04410762011317,8.184844859376533,5.300634102671893,0.6803167344550995,0.815562456866805,0.0706708677578113,0.7853110267690788,0.0,0.0,0.0,0.120042872454448
horizon,168,168h（周前）,TimesFM,False,False,23,16.262180072289446,2.035614227874885,22.987716666506685,3.31466750645502,85.8785469701577,8.14214440373709,5.368576085172372,0.7674187436977433,0.7990855762594894,0.0944824545232527,0.7965512381767453,0.0,0.0,0.0,0.1165644171779141
horizon,168,168h（周前）,Toto2,False,False,23,16.423320687422674,1.9974925323793848,23.549378734688776,3.3437205908845185,85.5689504587257,8.221697880670673,5.474658841565107,0.6206878422528758,0.8272084195997238,0.0692504760366794,0.804444199387011,0.0,0.0,0.0,0.0977822580645161
horizon,168,168h（周前）,SeasonalNaive,False,False,23,20.415736355532548,3.831653923852236,28.836351893211585,4.371627673275718,95.77223427600497,12.271362158170598,7.016313076711734,1.222102377500619,0.825655624568668,0.0989927036094118,1.0,0.0293159609120521,0.0285714285714285,0.0301003344481605,0.0767473732297852
horizon,168,168h（周前）,Naive,False,False,23,23.876865007476415,8.269853744068662,32.08427403103762,8.47722222351546,83.92514045284355,17.858702280845176,15.556817175937276,2.009071444293161,0.9923222912353348,0.0078564010145117,1.169532393623702,0.0171306209850107,0.0238095238095238,0.0133779264214046,0.0515164835164835
horizon,168,168h（周前）,Theta,False,False,23,24.517347378515616,7.805880552563658,32.5611498426061,8.628466516635854,95.78526232615869,16.390397854241336,8.026608081798232,2.510485751718894,0.7675983436853001,0.1620039636029007,1.200904388240278,0.046594982078853,0.0501930501930501,0.0434782608695652,0.0571428571428571
horizon,168,168h（周前）,XGBoost,False,False,23,24.578449527981576,8.704645334374899,33.57966009219298,9.36491624584534,82.8905042806633,17.20020732499279,12.116947513172242,4.353378255946514,0.0268288474810213,0.0144963476105029,1.2038972829564856,0.0144578313253012,0.0258620689655172,0.0100334448160535,0.0191387559808612
horizon,168,168h（周前）,ETS,False,False,23,26.929459454795,10.628281876092256,35.08467997511163,11.700955300939624,104.39705433891751,23.85616644301025,9.174520941210009,3.9099179106671778,0.737232574189096,0.1898243264011711,1.3190540368384642,0.0526976160602258,0.0421686746987951,0.0702341137123745,0.0720653789004457
horizon,168,168h（周前）,RandomForest,False,False,23,27.60759882671164,17.8578202094892,38.745865690766365,25.90289114751428,85.44257438315361,18.56292884578804,11.701814467935264,8.45061632050982,0.3929434092477571,0.178640886595985,1.352270540035169,0.0299500831946755,0.0298013245033112,0.0301003344481605,0.0300925925925925
horizon,168,168h（周前）,Toto,False,False,23,47.06575104699651,22.16460224313207,236.09237815758937,307.1622333128392,106.15637474298056,11.228047154562626,10.728698408937715,3.573605170598237,0.8410110420979988,0.0712133103960858,2.3053663226916603,0.0255183413078149,0.024390243902439,0.0267558528428093,0.1080050825921219
horizon,168,168h（周前）,LightGBM,False,False,23,50.206379293496845,67.49687926111851,81.04291264138969,122.17279775567832,88.564021824541,21.169562743882853,22.297483488310807,32.57332919207116,0.5885955831608005,0.1839004407533385,2.4592000219424466,0.0234948604992657,0.0150517403574788,0.0535117056856187,0.0444815123714206
