model,origin,naive7_mae,covariates_used,multivariate_used,mae,rmse,smape,rmae,pinball,coverage
Chronos2,2025-07-01 00:00:00+00:00,25.592407407407407,True,False,20.591416840376677,28.22770935966621,47.09208384525013,0.8045908504260817,7.554756090994235,0.3055555555555556
Chronos2,2025-07-02 00:00:00+00:00,38.74896990740741,True,False,21.241880944569903,37.60089317771814,30.60042327760727,0.5481921453738883,7.222225761443007,0.875
Chronos2,2025-07-03 00:00:00+00:00,9.429803240740743,True,False,4.275408185676292,5.4361915645675065,12.274554672269186,0.45339314899007843,1.8286316178168776,1.0
Chronos2,2025-07-04 00:00:00+00:00,8.454027777777778,True,False,10.21449133237203,15.211320411128671,27.920394084870182,1.2082396226827878,3.350388083693422,0.6111111111111112
Chronos2,2025-07-05 00:00:00+00:00,18.460520833333334,True,False,8.47253010502568,13.192253338723628,26.55369822676529,0.4589540122685603,3.0276261814140977,0.8333333333333334
Chronos2,2025-07-06 00:00:00+00:00,14.629305555555554,True,False,9.290283603668213,14.422677507718639,24.424087118285463,0.6350461112721909,2.8366050432346483,0.7638888888888888
Chronos2,2025-07-07 00:00:00+00:00,13.49300925925926,True,False,9.883231922079016,15.907330039112027,23.01277679328249,0.7324705506517667,3.3591767063847295,0.75
Chronos2,2025-07-08 00:00:00+00:00,12.906782407407407,True,False,18.479796666745788,29.984763136207032,35.00613977975085,1.4317895880959408,6.14784526783743,0.6527777777777778
Chronos2,2025-07-09 00:00:00+00:00,33.95109953703704,True,False,14.266233770229197,18.3979126572228,32.74964104776855,0.4201994623080249,5.370221641328599,0.6805555555555556
Chronos2,2025-07-10 00:00:00+00:00,17.20474537037037,True,False,17.553777110135115,25.2475739777445,58.7882719221844,1.0202869459704902,6.299511068014451,0.4305555555555556
Chronos2,2025-07-11 00:00:00+00:00,11.368680555555557,True,False,13.749297352366975,19.697106367138428,64.40029985264333,1.2094013271969435,4.303387692739934,0.7916666666666666
Chronos2,2025-07-12 00:00:00+00:00,52.02465277777779,True,False,48.61778817953887,97.1689064307914,61.15649135777874,0.9345144192928828,19.559392984296068,0.4166666666666667
Chronos2,2025-07-13 00:00:00+00:00,28.16582175925926,True,False,16.98821392659788,22.617571003278883,32.21472296352454,0.6031499478978687,5.904466872156402,0.8194444444444444
Chronos2,2025-07-14 00:00:00+00:00,8.859305555555556,True,False,10.195104031739412,12.782419009772855,26.54078863922496,1.1507791403973187,3.275415568234008,0.9305555555555556
Chronos2,2025-07-15 00:00:00+00:00,24.954976851851853,True,False,15.690473710872507,20.41585599832039,58.635666457148595,0.6287512829212724,4.999574011932184,0.6111111111111112
Chronos2,2025-07-16 00:00:00+00:00,23.476076388888888,True,False,5.603279351481685,6.887510245943776,35.81550784014129,0.23868040206811092,2.4885088740454777,0.9583333333333334
Chronos2,2025-07-17 00:00:00+00:00,10.92471064814815,True,False,6.846998364483868,9.759672264096384,28.651002237017064,0.6267441385868197,2.365054959544429,0.875
Chronos2,2025-07-18 00:00:00+00:00,8.932384259259258,True,False,6.8989821511727785,9.426646511089434,32.18081985961665,0.7723561762383132,2.254021376621576,0.9027777777777778
Chronos2,2025-07-19 00:00:00+00:00,60.14989583333334,True,False,9.229368793699477,11.0276589696889,50.563123218950544,0.15343948091402723,3.1344559963249865,0.5138888888888888
Chronos2,2025-07-20 00:00:00+00:00,38.696168981481485,True,False,4.100166554627595,5.365592994754013,23.06091683142228,0.10595794525783105,1.524985915760935,1.0
Chronos2,2025-07-21 00:00:00+00:00,10.894560185185188,True,False,5.779466641037552,8.808898657956439,22.469806263386072,0.5304910471646829,1.925942358499692,0.7916666666666666
Chronos2,2025-07-22 00:00:00+00:00,8.963090277777777,True,False,6.335231175069456,7.910899461882723,46.83836865839825,0.7068132729597087,1.9760942106482424,0.7222222222222222
Chronos2,2025-07-23 00:00:00+00:00,6.148333333333333,True,False,6.081312760247125,8.819035683238248,34.12118532150001,0.989099391745263,2.0163721447226446,0.8055555555555556
Chronos2,2025-07-24 00:00:00+00:00,8.587928240740741,True,False,8.438283217748006,11.959424666401688,35.770321961274995,0.9825749565206163,2.975185077573046,0.6527777777777778
Chronos2,2025-07-25 00:00:00+00:00,21.549166666666665,True,False,19.299524548142042,27.00727893929303,48.71226704924947,0.8956042174009224,6.792115861839719,0.5277777777777778
Chronos2,2025-07-26 00:00:00+00:00,14.584178240740743,True,False,11.991679241392347,14.704021744728406,31.70294308604439,0.8222389388998087,4.079909176679305,0.9305555555555556
Chronos2,2025-07-27 00:00:00+00:00,7.8231828703703705,True,False,8.006045731615139,10.795829642468782,47.39200963832345,1.023374483797042,2.4389089642042,0.8194444444444444
Chronos2,2025-07-28 00:00:00+00:00,9.630636574074073,True,False,7.226148048506843,11.742375531404607,33.835275925617246,0.7503292220536931,2.3249824283152454,0.8055555555555556
Chronos2,2025-07-29 00:00:00+00:00,15.900150462962964,True,False,9.477303628568295,15.497644159221371,26.557168876165516,0.5960511915056568,3.4659027932308337,0.8055555555555556
Chronos2,2025-07-30 00:00:00+00:00,23.051689814814814,True,False,14.780332159819425,32.345150575675206,25.177441124180056,0.6411821553455239,5.773131180309954,0.75
Chronos2,2025-07-31 00:00:00+00:00,33.38466435185185,True,False,24.068095037672254,45.914167447062866,38.833487850893846,0.7209326648910038,7.550143986631324,0.6111111111111112
Chronos2,2025-08-01 00:00:00+00:00,24.084745370370374,True,False,20.399492699305213,26.444100018915908,34.78976449385021,0.8469880991310439,6.244973805804311,0.6666666666666666
Chronos2,2025-08-02 00:00:00+00:00,24.0771875,True,False,15.4675646937335,19.436349143337658,30.71044486856756,0.6424157594708061,5.0599026013009345,0.8888888888888888
Chronos2,2025-08-03 00:00:00+00:00,11.675173611111111,True,False,13.917245481985585,17.508615937960794,44.83610928592989,1.1920375615434724,4.642094726503631,0.4444444444444444
Chronos2,2025-08-04 00:00:00+00:00,12.069548611111111,True,False,7.0127039983537465,8.64706107159488,22.97731626483177,0.5810245456816768,2.318294468338107,0.9583333333333334
Chronos2,2025-08-05 00:00:00+00:00,12.442928240740741,True,False,9.174509257210625,12.152848002466056,35.08597766481798,0.737327185346241,2.881160637243294,0.6388888888888888
Chronos2,2025-08-06 00:00:00+00:00,20.331157407407407,True,False,6.878203925026787,8.866660534103227,35.355247476358265,0.33830852750767637,2.1140785808916442,0.8055555555555556
Chronos2,2025-08-07 00:00:00+00:00,29.053194444444443,True,False,10.86612693009553,14.753738862412536,36.94742453166756,0.37400799250745914,2.9901417051126926,0.8194444444444444
Chronos2,2025-08-08 00:00:00+00:00,34.689097222222216,True,False,11.169835466455531,13.81944649736043,58.50266837338134,0.32199844795326676,3.3482276298381666,0.5694444444444444
Chronos2,2025-08-09 00:00:00+00:00,25.395208333333336,True,False,7.52374732211784,11.405526943771696,34.659333906105374,0.29626641464651,2.273061428894231,0.8611111111111112
Chronos2,2025-08-10 00:00:00+00:00,10.928773148148148,True,False,11.89512778600057,16.037445010819017,42.18866489779236,1.0884229752738686,4.127816978354512,0.5138888888888888
Chronos2,2025-08-11 00:00:00+00:00,13.578888888888889,True,False,8.39427177923697,10.558073673889956,25.521477631809763,0.6181854677451332,2.545586495164,0.9305555555555556
Chronos2,2025-08-12 00:00:00+00:00,25.48246527777778,True,False,16.014786333507963,24.72620577027996,37.12916041778397,0.6284629904891426,5.7405009843979355,0.6111111111111112
Chronos2,2025-08-13 00:00:00+00:00,23.985937500000002,True,False,10.409844553912126,13.654761133798651,22.00167547803092,0.4339978186765527,3.4444773301666163,0.9444444444444444
Chronos2,2025-08-14 00:00:00+00:00,13.576927083333334,True,False,13.286360295613607,16.741616167165265,34.2382306647647,0.9785984865399756,4.477344907272009,0.5972222222222222
Chronos2,2025-08-15 00:00:00+00:00,12.374131944444445,True,False,8.110948941266095,11.663961251233502,24.358945432952485,0.6554761964460569,2.4843854772308727,0.9027777777777778
Chronos2,2025-08-16 00:00:00+00:00,14.61224537037037,True,False,10.46785818806401,13.733164641382324,34.79421922039984,0.7163757466932467,3.0609452405093625,0.8055555555555556
Chronos2,2025-08-17 00:00:00+00:00,13.685046296296296,True,False,9.724017091327244,13.61943438454259,32.22457060836328,0.710557851306571,3.16371355842661,0.6805555555555556
Chronos2,2025-08-18 00:00:00+00:00,14.104664351851852,True,False,11.138412587201154,21.41392405582897,26.80013290837219,0.7896971036917125,3.8845615697201388,0.7638888888888888
Chronos2,2025-08-19 00:00:00+00:00,23.564027777777778,True,False,29.225197502772012,36.23504831709699,56.44656462906642,1.2402462676747072,10.626629102701022,0.2638888888888889
Chronos2,2025-08-20 00:00:00+00:00,12.98171296296296,True,False,15.919825101428561,19.4083845289674,40.18381619838764,1.22632699912932,5.305509704719355,0.6527777777777778
Chronos2,2025-08-21 00:00:00+00:00,29.798315972222227,True,False,25.98903098035742,38.09609419718531,43.13215447630234,0.8721644204519545,9.44862559736511,0.5
