model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal,ablation_type,model_type
Toto2[baseline],False,False,3,14.213826582520097,3.992606069501652,19.137270033908496,5.339696098298119,29.38879805797536,4.717989132295584,4.5743002285976955,1.1035294463154546,0.8657407407407408,0.07550697421435226,0.6209340225533684,0.6129032258064516,0.8636363636363636,0.475,0.5507246376811594,baseline,toto2
Toto2[skip_attention],False,False,3,87.66971084736012,53.15884208973566,123.7987877776073,93.11751008418796,89.10942823965566,22.083834410655477,1796.7514995473887,2480.128517851874,0.625,0.18564757088669834,3.829869873288573,0.30697674418604654,0.18857142857142858,0.825,0.3125,skip_attention,toto2
Toto2[halve_heads],False,False,3,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,halve_heads,toto2
Toto2[skip_ffn],False,False,3,434.4141369233308,19.02755914383269,543.9625176624842,19.171719970013232,158.10744259859044,9.82531916307003,4507.025654977869,1278.4813466844253,1.0,0.0,18.977473513401236,0.3125,0.18518518518518517,1.0,0.3125,skip_ffn,toto2
