model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-03-02 06:00:00+00:00,False,False,18.901656746031744,26.02545018941514,75.37195988347183,13.844432803372625,0.9940476190476192
Naive,2025-03-03 06:00:00+00:00,False,False,27.877496693121696,37.33353259340426,77.63181173393123,15.898503854796925,0.9900793650793652
Naive,2025-03-04 06:00:00+00:00,False,False,24.272719907407406,31.456453873938926,85.12588853818332,15.58683655422377,0.998015873015873
Naive,2025-03-05 06:00:00+00:00,False,False,25.557232142857146,33.83825456306811,78.952317371368,15.770779706941132,0.988095238095238
Naive,2025-03-06 06:00:00+00:00,False,False,17.94327711640212,24.26422118427115,73.4518865465577,15.315948875106528,0.998015873015873
Naive,2025-03-07 06:00:00+00:00,False,False,19.50344742063492,28.793686339878345,78.38828206311705,15.995048707599986,0.9861111111111112
Naive,2025-03-08 06:00:00+00:00,False,False,22.40927083333333,28.887855194823825,87.13517484691833,16.529738269729396,0.992063492063492
Naive,2025-03-09 06:00:00+00:00,False,False,24.59966600529101,32.752941040555534,79.39779008154377,15.731057014460484,0.996031746031746
Naive,2025-03-10 06:00:00+00:00,False,False,33.767375992063485,42.8110796968124,91.60409630668804,17.09869716418764,0.9821428571428572
Naive,2025-03-11 06:00:00+00:00,False,False,20.002984457671957,28.658498524337897,99.63346257039902,14.96145048446221,0.996031746031746
Naive,2025-03-12 06:00:00+00:00,False,False,40.43986441798942,56.57215768274623,106.05953058711776,19.67502216320621,0.9702380952380952
Naive,2025-03-13 06:00:00+00:00,False,False,22.053159722222222,28.048120139406,92.0455664138756,15.763112133320044,1.0
Naive,2025-03-14 06:00:00+00:00,False,False,19.334540343915343,25.71423411630748,96.43485067324734,14.577144619157965,0.996031746031746
Naive,2025-03-15 06:00:00+00:00,False,False,36.74021329365079,41.098220304076705,112.35448716910416,17.219811948240707,0.984126984126984
Naive,2025-03-16 06:00:00+00:00,False,False,48.48393022486773,52.190208490491,124.9233986885854,20.887226155341377,0.996031746031746
Naive,2025-03-17 06:00:00+00:00,False,False,23.90184523809524,32.40063028321624,92.88429537534158,17.362944846818156,1.0
Naive,2025-03-18 06:00:00+00:00,False,False,18.806172288359782,26.522056901957683,91.10240250320204,15.139171711843138,1.0
Naive,2025-03-19 06:00:00+00:00,False,False,19.916536044973544,27.96114718251543,88.10612107098454,14.027413236867815,0.996031746031746
Naive,2025-03-20 06:00:00+00:00,False,False,17.102223875661377,25.214965497234584,72.44470347756771,14.123077225110508,0.9900793650793652
Naive,2025-03-21 06:00:00+00:00,False,False,16.408012566137568,24.716507720759896,69.98418472284888,13.97478694306439,1.0
