model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal,ablation_type,model_type
Chronos2[baseline],False,True,30,13.098198903148557,5.161172466957931,18.477847460907658,7.260585442334904,30.059583377131258,7.553288401766694,4.303269101159562,1.871458688853824,0.735185185185185,0.1437990090607675,0.8752448502820077,0.4341801385681293,0.4973544973544973,0.3852459016393442,0.4129301355578728,baseline,chronos2
Chronos2[skip_attention],False,True,30,19.826739838976923,4.39968974208321,24.93581192256077,6.990355544873342,46.25471876526471,9.820175007365023,7.484773932413801,1.9743685706271576,0.2902777777777777,0.1089695232433581,1.3248578732282257,0.0,0.0,0.0,0.0,skip_attention,chronos2
Chronos2[halve_heads],False,True,30,12.446792013639286,4.7945334592528805,17.534054761130253,7.051587352321641,28.841848293867663,7.167400085965202,4.2393887137081405,1.488126736229516,0.8916666666666667,0.1043917321671403,0.831716688150941,0.3746397694524496,0.6310679611650486,0.2663934426229508,0.3839441535776614,halve_heads,chronos2
Chronos2[skip_variate],False,True,30,14.202383471559596,5.374646544486471,20.320452431398653,7.714488200200798,32.05534347346495,7.371756542778401,4.668951575142857,1.8262026964204048,0.737037037037037,0.1268349542679093,0.9490284188786268,0.454728370221328,0.4466403162055335,0.4631147540983606,0.4011516314779271,skip_variate,chronos2
Chronos2[skip_time],False,True,30,20.33614300351084,4.5003075605561245,25.6463233562066,7.079580458693016,47.24859832670244,9.727259026275334,6.85791734658053,1.709810678973014,0.8953703703703704,0.0906320210373319,1.3588970949389674,0.0,0.0,0.0,0.1861826697892271,skip_time,chronos2
Chronos2[remove_rope],False,True,30,18.251869341061436,5.0027415043534855,24.173700938469356,7.852421577978924,42.1309894437076,7.564114538173364,6.045757814196403,1.81003302609915,0.7342592592592593,0.1169602420343565,1.2196222371416297,0.0,0.0,0.0,0.2101405009163103,remove_rope,chronos2
Chronos2[simplify_patch_emb],False,True,30,40.90424707429791,10.39312173049364,50.983451817790275,11.576701276277614,133.2189071626694,19.706053746820643,201.01599955177016,122.98554307978324,0.998148148148148,0.0059288187383637,2.7332942392435498,0.0,0.0,0.0,0.2024999999999999,simplify_patch_emb,chronos2
Chronos2[simplify_output_head],False,True,30,19.375101057341062,4.4805375402210075,24.9989383136237,7.332281341688323,45.28252241690311,8.399878296918832,10.346606309614064,2.2401667633988467,0.0467592592592592,0.02597960712333,1.2946785698952,0.0625,0.6666666666666666,0.0327868852459016,0.0078431372549019,simplify_output_head,chronos2
Chronos2[skip_ffn],False,True,30,17.119860074832115,5.054205398934977,23.0326558642315,7.759904314896484,39.90648124201756,8.237924837137736,6.852312943667542,2.3564975448212535,0.3060185185185185,0.1088593198073381,1.1439793729535954,0.0236220472440944,0.3,0.0122950819672131,0.1632653061224489,skip_ffn,chronos2
Chronos2[skip_layernorm],False,True,30,83.97714398236921,20.39706480133626,117.73847157627536,25.73841195253089,90.57665000900784,15.579406785558977,420512.89470737387,88222.61173352246,0.0,0.0,5.611501501499662,0.1746231155778894,0.1031157270029673,0.569672131147541,0.0,skip_layernorm,chronos2
Chronos2[truncate_front_half],False,True,30,13.353067746603928,3.6556577449095458,18.25733072189634,6.142413892792585,31.38193461006237,7.270434690453948,4.983586425383886,1.4936667149112477,0.4504629629629629,0.1794368237880356,0.892275637826242,0.3850574712643678,0.6442307692307693,0.2745901639344262,0.4288052373158755,truncate_front_half,chronos2
Chronos2[truncate_back_half],False,True,30,17.862291589218895,5.768669384832208,24.162291089333515,8.740909195823258,42.08504797227269,9.12284862282611,6.169039575731802,2.568426678666239,0.6578703703703704,0.1500378610197073,1.1935899617420966,0.0,0.0,0.0,0.06875,truncate_back_half,chronos2
