knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
multivariate,False,单变量（逐节点独立）,TimesFM,False,False,30,31.46986729203404,49.73856537257491,44.23685763277031,75.20358206006253,64.0707360909896,29.462650978923698,11.63513168396442,19.22939708374153,0.7458333333333333,0.2197240951364667,0.6489116771606454,0.6603053435114504,0.6892430278884463,0.6336996336996337,0.6216216216216216
multivariate,False,单变量（逐节点独立）,Chronos2,False,False,30,34.13343840824233,52.203255335283345,46.685906758648194,76.30036631017163,67.10997409650389,30.448287486157824,12.93083882390079,20.38791888379734,0.6953703703703702,0.2557450317445145,0.7038347686441891,0.7607142857142857,0.7421602787456446,0.7802197802197802,0.6216216216216216
multivariate,False,单变量（逐节点独立）,Toto2,False,False,30,38.29455294212,67.36188318537651,50.896897420538366,86.62667676539469,64.6920599746065,29.11586041527041,13.638536854362782,22.05786000735219,0.7259259259259259,0.2273973034309813,0.7896373488069468,0.7420494699646644,0.7167235494880546,0.7692307692307693,0.6284153005464481
multivariate,False,单变量（逐节点独立）,RandomForest,False,False,30,41.22238875022568,54.66773428935049,54.77017930046543,78.29875279290991,72.37365000440113,25.89895928922207,19.63511574782143,27.24019972340769,0.1046296296296296,0.0769744671115404,0.8500096035437749,0.6712095400340714,0.6273885350318471,0.7216117216117216,0.6666666666666666
multivariate,False,单变量（逐节点独立）,XGBoost,False,False,30,42.25626670540704,55.194928029598834,56.06539033058023,79.13823559217597,73.88442452067441,25.867691848692154,21.009618762106665,27.590075787801123,0.011574074074074,0.0124656592757743,0.8713282659852264,0.6787003610108303,0.6690391459074733,0.6886446886446886,0.6798561151079136
multivariate,False,单变量（逐节点独立）,Theta,False,False,30,42.45122782240465,61.52721633111759,53.536781636790465,78.21540917668811,73.58521085497021,29.386467478724832,16.941936168402986,25.555239999028093,0.7569444444444445,0.2660426243734998,0.8753483828874689,0.7015873015873016,0.6190476190476191,0.8095238095238095,0.4967602591792657
multivariate,False,单变量（逐节点独立）,Naive,False,False,30,43.80397646604938,60.10592744270569,54.883525422199554,76.9530024592089,73.47159087233034,26.404822987010174,18.10045734005297,25.30219876676198,0.7953703703703705,0.2348258409608925,0.9032421894605424,0.7014218009478673,0.6166666666666667,0.8131868131868132,0.4466192170818505
multivariate,False,单变量（逐节点独立）,SeasonalNaive,False,False,30,48.496380015432095,71.72981646931645,69.68774242951989,106.42216829969372,80.89379419725728,31.83962228993681,18.72474799926888,28.327694857654,0.7611111111111111,0.2192040408446745,1.0,0.6319702602230484,0.6415094339622641,0.6227106227106227,0.5505882352941176
multivariate,False,单变量（逐节点独立）,ETS,False,False,30,49.83605471450222,97.30912727688766,62.62041724372416,114.56497286586882,76.23560984819493,31.004140354073662,21.014691630486844,43.85834827206965,0.8027777777777777,0.27151268073972,1.0276242205839656,0.7347611202635915,0.6676646706586826,0.8168498168498168,0.5548854041013269
multivariate,False,单变量（逐节点独立）,LightGBM,False,False,30,57.133081390329046,88.1876804326952,72.57830973553054,111.04293538586792,76.18420655203354,29.54489434849132,26.739835334357952,43.22350870662205,0.1837962962962963,0.1393826101159807,1.1780896094130873,0.6879194630872483,0.6346749226006192,0.7509157509157509,0.6887417218543045
