model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal,spike_f1_spike_head,spike_precision_head,spike_recall_head,window
ElecFM,False,False,30,11.868024725214642,4.751435227964824,17.31869815386636,6.669241396491183,29.389483368440324,7.850207256656718,4.267572065158734,2.0312065716646703,0.5127777777777778,0.15248895257833012,,0.3877405559515324,0.5690376569037657,0.29405405405405405,0.4123446206600943,0.3512680730030813,0.22495446265938068,0.8010810810810811,w1_stable
ElecFM,False,False,30,16.203599183226665,6.791436550541374,22.649805786889882,9.78506404881067,74.80208401554448,19.8843495450754,6.065709719431866,2.9142157862969533,0.4711111111111111,0.14019313544655976,,0.14025974025974025,0.19081272084805653,0.11088295687885011,0.1654733492442323,0.15948670944087995,0.0936826992103374,0.5359342915811088,w2_negative
ElecFM,False,False,30,32.18824211444649,48.86521382441089,44.598712737816136,73.57076080730616,72.82519044882261,26.078656892591564,13.622934293398545,22.714833185333116,0.3539814814814815,0.2039106902933542,,0.4734133790737564,0.609271523178808,0.3870967741935484,0.5937609533824045,0.2570281124497992,0.22970734400883489,0.2917251051893408,w3_extreme
