model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-08-01 00:00:00+00:00,False,False,57.65693948412699,61.7417409809457,94.16815370223648,25.420076095004784,0.998015873015873
Naive,2025-08-02 00:00:00+00:00,False,False,65.60482308201058,68.18325872247718,105.02264244138397,26.955401261848,0.992063492063492
Naive,2025-08-03 00:00:00+00:00,False,False,18.31104332010582,20.82595247743876,54.58669668332473,19.57514444092248,1.0
Naive,2025-08-04 00:00:00+00:00,False,False,33.14182374338625,38.22677952210268,74.7263745005258,22.098348917072755,0.996031746031746
Naive,2025-08-05 00:00:00+00:00,False,False,15.776969246031747,20.61542726879905,46.326018514077624,19.223659234942097,1.0
Naive,2025-08-06 00:00:00+00:00,False,False,16.55332175925926,25.23934830643368,43.698721117855264,18.43490398518154,1.0
Naive,2025-08-07 00:00:00+00:00,False,False,18.897805886243383,25.423517589430748,48.34487627112151,16.21009456743097,0.984126984126984
Naive,2025-08-08 00:00:00+00:00,False,False,20.72168816137566,26.16853591230709,48.61276865702987,12.52442196077115,0.984126984126984
Naive,2025-08-09 00:00:00+00:00,False,False,24.41024801587302,31.03285801246733,62.64291827100574,12.225256376692094,0.9623015873015872
Naive,2025-08-10 00:00:00+00:00,False,False,22.384358465608468,29.180562194541903,50.090350914455136,11.580741995897345,0.9623015873015872
Naive,2025-08-11 00:00:00+00:00,False,False,27.51962136243386,37.18933536251977,52.45096474046682,12.739028975420611,0.9543650793650794
Naive,2025-08-12 00:00:00+00:00,False,False,30.52543154761905,38.62091138262867,57.49167064560511,14.070700787230416,0.9603174603174603
Naive,2025-08-13 00:00:00+00:00,False,False,66.54869874338624,70.12224002561163,92.06001996227332,22.060528104044135,0.9107142857142856
Naive,2025-08-14 00:00:00+00:00,False,False,30.74089616402117,35.243142252454156,61.027083294019576,15.72009198795886,0.9940476190476192
Naive,2025-08-15 00:00:00+00:00,False,False,24.94233465608466,32.57085031749311,50.393381832424176,14.07782272938237,0.988095238095238
Naive,2025-08-16 00:00:00+00:00,False,False,22.408249007936508,31.803275713521785,44.55956233852884,13.976525069862262,0.996031746031746
Naive,2025-08-17 00:00:00+00:00,False,False,27.4888210978836,36.15225520680521,51.77544385171747,14.911743275958113,0.98015873015873
Naive,2025-08-18 00:00:00+00:00,False,False,38.535681216931216,46.186726107980775,63.803068053490875,16.773394778719467,0.9623015873015872
Naive,2025-08-19 00:00:00+00:00,False,False,125.54436507936508,137.4087040858139,113.49009332316162,36.231931630065525,0.7718253968253969
Naive,2025-08-20 00:00:00+00:00,False,False,56.62203538359788,64.18073419918125,83.31625556089764,23.3106499894121,0.9603174603174603
Naive,2025-08-21 00:00:00+00:00,False,False,28.990271164021163,33.03462949424907,58.09872060974324,18.701093117876535,0.9781746031746033
Naive,2025-08-22 00:00:00+00:00,False,False,28.794340277777778,32.1685973274633,61.06636267259846,19.57267444259333,1.0
Naive,2025-08-23 00:00:00+00:00,False,False,19.78664847883598,23.727074427291953,46.84752469010491,17.941027835708294,0.9940476190476192
Naive,2025-08-24 00:00:00+00:00,False,False,19.55910218253968,23.433345447564975,46.43307373082501,18.094834199819275,0.984126984126984
Naive,2025-08-25 00:00:00+00:00,False,False,65.43223544973544,68.0539500093654,97.0541051239617,26.502507466250975,0.98015873015873
SeasonalNaive,2025-08-01 00:00:00+00:00,False,False,30.898493716931217,58.85636488774173,47.0482244561086,12.354161690415689,0.8015873015873016
SeasonalNaive,2025-08-02 00:00:00+00:00,False,False,28.291053240740737,35.63331570917951,60.297521217715435,9.0310035566164,0.7738095238095238
