model,origin,naive7_mae,covariates_used,multivariate_used,mae,rmse,smape,rmae,pinball,coverage
Chronos2,2025-07-01 00:00:00+00:00,25.592407407407407,True,False,20.953757290663543,28.68287983927827,47.96953938411906,0.8187489733614797,7.538316034740871,0.3472222222222222
Chronos2,2025-07-02 00:00:00+00:00,38.74896990740741,True,False,21.837038325557003,38.082549029754055,31.362075999371186,0.5635514538254228,7.467909314544113,0.8055555555555556
Chronos2,2025-07-03 00:00:00+00:00,9.429803240740743,True,False,4.5712567202250165,5.708143802906209,13.205428415418755,0.484766924984739,1.9362048322183114,1.0
Chronos2,2025-07-04 00:00:00+00:00,8.454027777777778,True,False,10.29227920850118,15.076901341248558,28.223755232136877,1.2174409026139494,3.373448125521342,0.625
Chronos2,2025-07-05 00:00:00+00:00,18.460520833333334,True,False,8.829696717438875,13.791088930444184,27.842166578119134,0.47830160357640006,3.178877951009774,0.7916666666666666
Chronos2,2025-07-06 00:00:00+00:00,14.629305555555554,True,False,9.962848030726116,16.404540567181918,25.816428482452586,0.6810198879838608,3.0356062365755627,0.7222222222222222
Chronos2,2025-07-07 00:00:00+00:00,13.49300925925926,True,False,10.352435571529249,16.739839487140276,23.523632854361175,0.7672443835629278,3.444988526885892,0.7361111111111112
Chronos2,2025-07-08 00:00:00+00:00,12.906782407407407,True,False,17.63429569350349,29.104234702609006,33.33114296501509,1.36628131914449,5.6851029474352615,0.6805555555555556
Chronos2,2025-07-09 00:00:00+00:00,33.95109953703704,True,False,24.594094805187652,30.991680768991994,43.836122370562656,0.7243975936142543,7.702751484329316,0.6527777777777778
Chronos2,2025-07-10 00:00:00+00:00,17.20474537037037,True,False,19.416374216079713,27.590286896421315,62.58818516960862,1.1285476069595404,6.9511763488510505,0.5277777777777778
Chronos2,2025-07-11 00:00:00+00:00,11.368680555555557,True,False,12.669162000373555,18.706612514434557,56.661530436262055,1.1143915899882058,4.001268037542885,0.8472222222222222
Chronos2,2025-07-12 00:00:00+00:00,52.02465277777779,True,False,48.22327663774844,96.82254983742442,60.85670228216814,0.926931253990933,19.64241302955298,0.375
Chronos2,2025-07-13 00:00:00+00:00,28.16582175925926,True,False,14.538469560058028,19.47476105101175,27.723494298253094,0.5161741661337694,5.679638362401796,0.9722222222222222
Chronos2,2025-07-14 00:00:00+00:00,8.859305555555556,True,False,11.459153456511322,14.26788833896527,29.73074966287327,1.2934595589521614,3.457177383752517,0.9027777777777778
Chronos2,2025-07-15 00:00:00+00:00,24.954976851851853,True,False,15.972008965456926,20.623506441379956,59.36433660786086,0.6400330106606241,5.084950261351502,0.5694444444444444
Chronos2,2025-07-16 00:00:00+00:00,23.476076388888888,True,False,6.325165959817393,7.5795406938475836,39.123355772948784,0.26943028532702606,2.532989917507878,0.9583333333333334
Chronos2,2025-07-17 00:00:00+00:00,10.92471064814815,True,False,6.78196936642682,9.541472254358977,28.69165755026698,0.6207916698989582,2.3470373095406423,0.875
Chronos2,2025-07-18 00:00:00+00:00,8.932384259259258,True,False,6.980330889666522,9.488795742704946,32.28350305816977,0.7814633458508854,2.3161637594081737,0.9027777777777778
Chronos2,2025-07-19 00:00:00+00:00,60.14989583333334,True,False,9.728294185355857,11.581101837216861,52.212379505055914,0.1617341817567158,3.2749015554381002,0.5416666666666666
Chronos2,2025-07-20 00:00:00+00:00,38.696168981481485,True,False,3.965350169252465,5.102618544321111,22.37909823825643,0.10247397284082904,1.6643259891168567,1.0
Chronos2,2025-07-21 00:00:00+00:00,10.894560185185188,True,False,6.410345440264101,9.352100775595783,24.618065775746636,0.5883987358187361,2.092265943421258,0.7083333333333334
