model,origin,mae,rmse,smape,pinball,coverage
ElecFMV6,2025-08-01 00:00:00+00:00,19.468983805974325,26.104226844627565,32.70619890801248,5.456872039900887,0.8055555555555556
ElecFMV6,2025-08-02 00:00:00+00:00,12.867836458418104,17.087087749337805,23.82607727270737,4.353700419767403,0.9027777777777778
ElecFMV6,2025-08-03 00:00:00+00:00,13.152470685111151,16.728948998587846,39.10567318009567,4.517498262841024,0.5277777777777778
ElecFMV6,2025-08-04 00:00:00+00:00,9.49490452307242,12.72794759096792,26.432720516220705,3.015062853907361,0.75
ElecFMV6,2025-08-05 00:00:00+00:00,10.092850178612602,11.737445621054484,35.29601252302037,3.054012067818347,0.6805555555555556
ElecFMV6,2025-08-06 00:00:00+00:00,6.0203733002697986,7.8596151883244465,21.6738276494825,2.0310105691132723,0.875
ElecFMV6,2025-08-07 00:00:00+00:00,11.374900571328622,16.805397688824044,28.99785061885604,3.640834940215688,0.7777777777777778
ElecFMV6,2025-08-08 00:00:00+00:00,11.714474576314293,17.46300500749298,34.538289404429676,4.074664992520838,0.5555555555555556
ElecFMV6,2025-08-09 00:00:00+00:00,10.310161264560842,13.123767916754518,36.882944152117695,3.300044281835909,0.6111111111111112
ElecFMV6,2025-08-10 00:00:00+00:00,13.776057007047864,21.015720416756213,35.608164818280095,4.864395617673426,0.4722222222222222
ElecFMV6,2025-08-11 00:00:00+00:00,11.337626857757568,19.308263486023606,24.980773094642338,3.914062059838095,0.8055555555555556
ElecFMV6,2025-08-12 00:00:00+00:00,16.787889243231877,25.817763961392142,31.417588699238415,5.93585940046075,0.625
ElecFMV6,2025-08-13 00:00:00+00:00,10.35448782850195,13.026641737336156,21.167350049508244,3.256169951256411,0.9027777777777778
ElecFMV6,2025-08-14 00:00:00+00:00,12.182300913422194,16.495599466911266,29.501411430783847,4.133627644115024,0.5972222222222222
ElecFMV6,2025-08-15 00:00:00+00:00,8.658406715039852,12.038808041757814,22.60122791556411,3.040877232021755,0.8194444444444444
ElecFMV6,2025-08-16 00:00:00+00:00,7.320919966521087,10.719206100942833,17.99114016062267,2.5095438278162923,0.875
ElecFMV6,2025-08-17 00:00:00+00:00,11.293530422493264,15.983244743850252,28.831595548293453,3.7598997160240457,0.5972222222222222
ElecFMV6,2025-08-18 00:00:00+00:00,11.251993365111174,27.05494696350411,21.238838826899652,4.2890257991979155,0.8611111111111112
ElecFMV6,2025-08-19 00:00:00+00:00,27.203728733062746,39.29301408282013,44.40047741297505,9.624428142559381,0.5972222222222222
ElecFMV6,2025-08-20 00:00:00+00:00,12.948960697739214,15.391365585413146,33.274656479879575,4.551465128910395,0.6111111111111112
ElecFMV6,2025-08-21 00:00:00+00:00,22.96196648562396,36.595484046478425,35.822251768585446,8.160896969194766,0.6666666666666666
ElecFMV6,2025-08-22 00:00:00+00:00,10.446320337719389,14.854826439677035,22.756935501137303,3.4564350364237657,0.7916666666666666
ElecFMV6,2025-08-23 00:00:00+00:00,9.99621226169445,12.398025488788498,26.069527483799003,3.21647253330843,0.8472222222222222
ElecFMV6,2025-08-24 00:00:00+00:00,13.50855553061874,20.55233985275791,24.411123870052347,4.361103738737696,0.7638888888888888
ElecFMV6,2025-08-25 00:00:00+00:00,10.040827115023578,13.153318772276709,22.971033954539877,3.666380242006278,0.8472222222222222
ElecFMV6,2025-08-26 00:00:00+00:00,11.435224474094532,15.08830653204641,27.34975430898363,3.9457133657549632,0.6666666666666666
ElecFMV6,2025-08-27 00:00:00+00:00,9.792995304884734,13.54035229410008,22.331277819618712,3.2244117129290544,0.8333333333333334
ElecFMV6,2025-08-28 00:00:00+00:00,17.626096133126154,21.793812110842676,49.76099345948763,5.989507087660424,0.3611111111111111
ElecFMV6,2025-08-29 00:00:00+00:00,11.037150872195209,15.637163146426348,25.301765205197253,3.4887949986516698,0.8055555555555556
ElecFMV6,2025-08-30 00:00:00+00:00,6.943385116435863,8.802181876443063,19.790960351742427,2.2995311821831597,0.8888888888888888
